url,locale,page_type,title,meta_description,h1,http_status,redirect_chain,canonical,robots_meta,sitemap_included,navigation_exposed,inbound_internal_links,outbound_internal_links,word_count,image_count,unique_image,structured_assets,actual_evidence,author,published_at,updated_at,topic_fit,originality,evidence,actionability,trust,ux,index_readiness,total_score,classification,template_risk,thin_content_risk,orphan_risk,privacy_risk,final_recommendation
https://www.biz2lab.com/ko,ko,home,Biz2Lab,현장형 AI 업무 자동화와 사업 운영 시스템을 정리하는 한국어 중심 콘텐츠 허브입니다.,주문·미수금·전자계약·재고를 직접 시스템으로 바꾼 기록,200,,https://www.biz2lab.com/ko,,true,true,26,25,991,10,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,low,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/automation,ko,automation,승인형 업무 자동화 구축 기록 | Biz2Lab,"생성, 검토, 승인과 외부 실행을 분리한 자동화 제어 시스템의 구현 기록입니다.",승인형 업무 자동화 구축 기록,200,,https://www.biz2lab.com/ko/automation,,true,true,26,17,199,2,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,high,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/sales-ops,ko,sales-ops,B2B 영업·미수금 운영 기록 | Biz2Lab,"일일 매출, 미수금, 거래처 응대를 놓치지 않기 위한 운영 구조를 다룹니다.",B2B 영업·미수금 운영 기록,200,,https://www.biz2lab.com/ko/sales-ops,,true,true,26,21,337,6,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,high,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/small-business,ko,small-business,주문·운영 시스템 구축 기록 | Biz2Lab,"주문, 예약, 고객 기록, 매장 체크리스트를 단순하게 시스템화합니다.",주문·운영 시스템 구축 기록,200,,https://www.biz2lab.com/ko/small-business,,true,true,26,17,195,2,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,high,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/warehouse-logistics,ko,warehouse-logistics,식자재 물류·재고·피킹 구축 기록 | Biz2Lab,"출고지시, 피킹, 검수, 상차와 재고 차이를 별도 상태로 관리한 WMS 구현을 다룹니다.",식자재 물류·재고·피킹 구축 기록,200,,https://www.biz2lab.com/ko/warehouse-logistics,,true,true,26,16,160,1,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,high,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/projects,ko,projects,업무 자동화 프로젝트 기록 | Biz2Lab,"Biz2Lab 운영자가 공개한 자동화 통제, 소상공인 운영 SaaS와 승인·감사 시스템의 구현 범위, 확인 가능한 근거와 한계를 정리합니다.",무엇을 만들었고 어디까지 검증했는가,200,,https://www.biz2lab.com/ko/projects,,true,true,26,19,489,3,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,low,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/author/biz2lab,ko,biz2lab,Biz2Lab 운영자 | Biz2Lab,"Biz2Lab 운영자가 직접 개발·검증한 업무 자동화, 소상공인 SaaS와 승인·감사 시스템의 공개 근거와 작성 원칙을 소개합니다.",Biz2Lab 운영자 · B2B 유통 현장 시스템 설계·개발,200,,https://www.biz2lab.com/ko/author/biz2lab,,true,true,26,20,392,0,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,low,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/about,ko,about,사이트 소개와 편집 원칙 | Biz2Lab,"Biz2Lab이 다루는 자동화·영업 운영 문제, 운영자의 프로젝트 경험, 검증 범위와 콘텐츠 수정 원칙을 소개합니다.",Biz2Lab 소개,200,,https://www.biz2lab.com/ko/about,,true,true,26,15,356,0,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,low,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/resources,ko,resources,Biz2Lab 실무 자료실 | Biz2Lab,"업무 자동화, 매출, 미수금, 주문과 고객 관리 가이드에서 사용하는 CSV 실무 자료를 문제별로 제공합니다.",Biz2Lab 실무 자료실,200,,https://www.biz2lab.com/ko/resources,,true,true,26,35,369,0,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,low,low,no_pattern_detected,KEEP_AS_SUPPORTING
https://www.biz2lab.com/ko/contact,ko,contact,문의 | Biz2Lab,"Biz2Lab 콘텐츠, 업무 자동화, 운영 시스템 정리에 대해 문의할 수 있습니다.",문의하기,200,,https://www.biz2lab.com/ko/contact,,true,true,26,15,177,0,false,,not_applicable,Biz2Lab,,,5,4,2,5,4,4,5,29,SUPPORTING,low,high,low,no_pattern_detected,KEEP_AS_SUPPORTING
