"url","route","page_type","gsc_status","gsc_report_updated","gsc_observed_at","http_status","canonical","indexable","sitemap_present","target_surface","decision","title","body_words","official_source_links","evidence_scope"
"https://www.biz2lab.com/","/","home","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com","true","true","INDEX","KEEP_INDEXABLE","건강정보가 낯설 때, 질환 이해부터 진료 준비까지","234","1","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health","/health","hub","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health","true","true","INDEX","KEEP_INDEXABLE","질환별 건강 안내서와 검사·진료 준비 도구 찾기 | 오누림","1008","1","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","disease","DISCOVERED_NOT_INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/acute-myocardial-infarction","true","true","INDEX","KEEP_INDEXABLE","급성심근경색 증상: 심한 흉통을 기다리지 말아야 하는 이유 | 오누림","1389","8","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/allergic-rhinitis","/health/allergic-rhinitis","disease","CRAWLED_NOT_INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/allergic-rhinitis","true","true","INDEX","KEEP_INDEXABLE","알레르기 비염 증상과 감기 차이, 검사·코 스프레이 | 오누림","1070","6","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/anxiety-disorder","/health/anxiety-disorder","disease","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/anxiety-disorder","true","true","INDEX","KEEP_INDEXABLE","불안장애: 걱정·공황의 차이와 진료에 전할 기록 | 오누림","1584","11","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/asthma","/health/asthma","disease","DISCOVERED_NOT_INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/asthma","true","true","INDEX","KEEP_INDEXABLE","천식: 기도가 좁아지는 이유와 내 행동계획 읽는 법 | 오누림","1231","8","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/depression","/health/depression","disease","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/depression","true","true","INDEX","KEEP_INDEXABLE","우울증: 가족이 듣고 도울 말, 진료와 위기 도움의 구분 | 오누림","1546","8","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/dyslipidemia","/health/dyslipidemia","disease","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/dyslipidemia","true","true","INDEX","KEEP_INDEXABLE","이상지질혈증 검사표 읽기: LDL·HDL·중성지방의 차이 | 오누림","1241","11","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/gastroesophageal-reflux-disease","/health/gastroesophageal-reflux-disease","disease","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/gastroesophageal-reflux-disease","true","true","INDEX","KEEP_INDEXABLE","위식도역류질환 증상과 역류성 식도염 차이 | 오누림","1028","8","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/gout","/health/gout","disease","DISCOVERED_NOT_INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/gout","true","true","INDEX","KEEP_INDEXABLE","통풍: 요산 수치만으로 진단할 수 없는 이유와 진료 준비 | 오누림","1381","9","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/guides/appointment-questions","/health/guides/appointment-questions","support","DISCOVERED_NOT_INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/guides/appointment-questions","true","true","INDEX","KEEP_INDEXABLE","병원 진료 전 질문 준비: 검사·치료·다음 연락 확인 | 오누림","800","4","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
"https://www.biz2lab.com/health/guides/danger-signals","/health/guides/danger-signals","support","INDEXED","2026-09-04","2026-09-07","200","https://www.biz2lab.com/health/guides/danger-signals","true","true","INDEX","KEEP_INDEXABLE","응급 위험 신호: 바로 119를 부를 때와 신고 후 전할 내용 | 오누림","777","7","GSC_PRODUCTION_PLUS_PR127_LOCAL_CRAWL"
