"route","target_surface","sitemap_present","match","result"
"/","INDEX","true","true","PASS"
"/health","INDEX","true","true","PASS"
"/health/acute-myocardial-infarction","INDEX","true","true","PASS"
"/health/allergic-rhinitis","INDEX","true","true","PASS"
"/health/anxiety-disorder","INDEX","true","true","PASS"
"/health/asthma","INDEX","true","true","PASS"
"/health/depression","INDEX","true","true","PASS"
"/health/dyslipidemia","INDEX","true","true","PASS"
"/health/gastroesophageal-reflux-disease","INDEX","true","true","PASS"
"/health/gout","INDEX","true","true","PASS"
"/health/guides/appointment-questions","INDEX","true","true","PASS"
"/health/guides/danger-signals","INDEX","true","true","PASS"
"/health/guides/family-medication-support","INDEX","true","true","PASS"
"/health/guides/measuring-blood-pressure","INDEX","true","true","PASS"
"/health/guides/medication-list","INDEX","true","true","PASS"
"/health/guides/older-parent-health-organizer","INDEX","true","true","PASS"
"/health/guides/reading-health-results","INDEX","true","true","PASS"
"/health/guides/symptom-journal","INDEX","true","true","PASS"
"/health/guides/understanding-hba1c","INDEX","true","true","PASS"
"/health/hypertension","INDEX","true","true","PASS"
"/health/irritable-bowel-syndrome","INDEX","true","true","PASS"
"/health/kidney-stones","INDEX","true","true","PASS"
"/health/metabolic-dysfunction-associated-steatotic-liver-disease","INDEX","true","true","PASS"
"/health/migraine","INDEX","true","true","PASS"
"/health/obesity","INDEX","true","true","PASS"
"/health/osteoarthritis","INDEX","true","true","PASS"
"/health/osteoporosis","INDEX","true","true","PASS"
"/health/sleep-apnea","INDEX","true","true","PASS"
"/health/stroke","INDEX","true","true","PASS"
"/health/tools/acute-myocardial-infarction-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/allergy-appointment-questions","INDEX","true","true","PASS"
"/health/tools/allergy-environment-check","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/allergy-trigger-observation","INDEX","true","true","PASS"
"/health/tools/anxiety-disorder-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/asthma-visit-card","INDEX","true","true","PASS"
"/health/tools/blood-pressure-log","INDEX","true","true","PASS"
"/health/tools/blood-pressure-prep","INDEX","true","true","PASS"
"/health/tools/blood-pressure-questions","INDEX","true","true","PASS"
"/health/tools/blood-pressure-warning","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/depression-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/diabetes-questions","INDEX","true","true","PASS"
"/health/tools/diabetes-test-terms","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/dyslipidemia-visit-card","INDEX","true","true","PASS"
"/health/tools/family-support-checklist","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/gerd-appointment-prep","INDEX","true","true","PASS"
"/health/tools/gerd-everyday-patterns","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/gerd-symptom-timing-log","INDEX","true","true","PASS"
"/health/tools/glucose-observation-log","INDEX","true","true","PASS"
"/health/tools/gout-visit-card","INDEX","true","true","PASS"
"/health/tools/irritable-bowel-syndrome-visit-card","INDEX","true","true","PASS"
"/health/tools/kidney-stones-visit-card","INDEX","true","true","PASS"
"/health/tools/metabolic-dysfunction-associated-steatotic-liver-disease-visit-card","INDEX","true","true","PASS"
"/health/tools/migraine-visit-card","INDEX","true","true","PASS"
"/health/tools/oa-daily-activity-log","INDEX","true","true","PASS"
"/health/tools/oa-family-support","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/oa-visit-questions","INDEX","true","true","PASS"
"/health/tools/obesity-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/osteoporosis-appointment-prep","INDEX","true","true","PASS"
"/health/tools/osteoporosis-home-check","INDEX","true","true","PASS"
"/health/tools/osteoporosis-terms","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/sleep-apnea-visit-card","INDEX","true","true","PASS"
"/health/tools/stroke-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/tools/urinary-tract-infection-visit-card","NOINDEX_FOLLOW","false","true","PASS"
"/health/trust/about","INDEX","true","true","PASS"
"/health/trust/advertising","NOINDEX_FOLLOW","false","true","PASS"
"/health/trust/ai-disclosure","INDEX","true","true","PASS"
"/health/trust/author","INDEX","true","true","PASS"
"/health/trust/contact","NOINDEX_FOLLOW","false","true","PASS"
"/health/trust/corrections-policy","INDEX","true","true","PASS"
"/health/trust/disclaimer","NOINDEX_FOLLOW","false","true","PASS"
"/health/trust/editorial-policy","INDEX","true","true","PASS"
"/health/trust/medical-review-policy","INDEX","true","true","PASS"
"/health/trust/privacy","NOINDEX_FOLLOW","false","true","PASS"
"/health/trust/sources-policy","INDEX","true","true","PASS"
"/health/trust/terms","NOINDEX_FOLLOW","false","true","PASS"
"/health/type-2-diabetes","INDEX","true","true","PASS"
"/health/urinary-tract-infection","INDEX","true","true","PASS"
