"route","title","description","canonical","robots","unique_title","unique_description","result"
"/","건강정보가 낯설 때, 질환 이해부터 진료 준비까지","질환 이름, 검사표의 HbA1c·NGSP, 가족의 약과 진료 질문이 궁금할 때 필요한 안내를 찾아보세요. 오누림의 작성자·출처 원칙과 의료 검수 미완료 상태도 공개합니다.","https://www.biz2lab.com","","true","true","PASS"
"/health","질환별 건강 안내서와 검사·진료 준비 도구 찾기 | 오누림","20개 질환을 분야별로 찾고, 검사표·증상 기록·가족 지원을 위한 9개 가이드와 34개 인쇄 도구를 살펴보세요. 각 자료의 쓰임과 도움 요청의 우선순위를 구분합니다.","https://www.biz2lab.com/health","","true","true","PASS"
"/health/acute-myocardial-infarction","급성심근경색 증상: 심한 흉통을 기다리지 말아야 하는 이유 | 오누림","심근경색이 의심되면 확신이 없어도 즉시 119에 연락합니다. 약하거나 오락가락하는 증상을 넘기지 않는 이유, 약 때문에 신고를 늦추지 않을 원칙과 심전도·트로포닌 검사의 역할을 설명합니다.","https://www.biz2lab.com/health/acute-myocardial-infarction","","true","true","PASS"
"/health/allergic-rhinitis","알레르기 비염 증상과 감기 차이, 검사·코 스프레이 | 오누림","재채기·맑은 콧물만으로 감기와 알레르기 비염을 구분할 수 있을까요? 검사 양성의 의미, 코 스프레이 종류, 수면·환경 기록과 진료가 필요한 때를 정리합니다.","https://www.biz2lab.com/health/allergic-rhinitis","","true","true","PASS"
"/health/anxiety-disorder","불안장애: 걱정·공황의 차이와 진료에 전할 기록 | 오누림","이어지는 걱정과 공황발작·공황장애를 구분하고, 불안 탓으로 넘기지 말아야 할 흉통·호흡 변화를 안내합니다. 진료 기록 네 가지와 약·가족 도움의 경계를 살펴봅니다.","https://www.biz2lab.com/health/anxiety-disorder","","true","true","PASS"
"/health/asthma","천식: 기도가 좁아지는 이유와 내 행동계획 읽는 법 | 오누림","천식에서 기도가 좁아지는 과정을 쉽게 이해하고, 개인 행동계획의 약 이름·사용 지침·도움 요청 시점을 확인합니다. 증상 기록과 심한 호흡곤란의 응급 신호를 구분합니다.","https://www.biz2lab.com/health/asthma","","true","true","PASS"
"/health/depression","우울증: 가족이 듣고 도울 말, 진료와 위기 도움의 구분 | 오누림","우울증을 의지 부족으로 보지 않고 기분·흥미·잠·식사·일상 변화를 살핍니다. 가족 대화 예시, 진료에 전할 내용, 109 상담과 119 긴급 도움의 차이를 설명합니다.","https://www.biz2lab.com/health/depression","","true","true","PASS"
"/health/dyslipidemia","이상지질혈증 검사표 읽기: LDL·HDL·중성지방의 차이 | 오누림","LDL·HDL·중성지방·총콜레스테롤이 각각 무엇인지, 금식 여부와 이전 결과를 왜 함께 보는지 설명합니다. 개인 목표와 약은 혼자 정하지 않고 진료 질문으로 연결합니다.","https://www.biz2lab.com/health/dyslipidemia","","true","true","PASS"
"/health/gastroesophageal-reflux-disease","위식도역류질환 증상과 역류성 식도염 차이 | 오누림","역류·위식도역류질환·식도염의 차이를 구분하고 식사, 눕는 시간, 속쓰림을 함께 기록합니다. 검사·약에 관해 물을 질문, 흉통·삼킴 변화 때의 진료 경계를 살핍니다.","https://www.biz2lab.com/health/gastroesophageal-reflux-disease","","true","true","PASS"
"/health/gout","통풍: 요산 수치만으로 진단할 수 없는 이유와 진료 준비 | 오누림","요산 수치와 통풍 진단의 차이, 갑작스러운 관절 변화에 필요한 진료, 급성 통증 완화와 장기 예방의 목적을 구분하고 상담 질문을 준비합니다.","https://www.biz2lab.com/health/gout","","true","true","PASS"
"/health/guides/appointment-questions","병원 진료 전 질문 준비: 검사·치료·다음 연락 확인 | 오누림","가장 걱정되는 질문부터 고르고 검사 목적·치료 선택지·다음 일정을 확인합니다. 설명을 이해하지 못했거나 실행이 어려울 때 말하는 방법과 귀가 후 문의할 내용을 정리합니다.","https://www.biz2lab.com/health/guides/appointment-questions","","true","true","PASS"
