"url","route","page_type","decision","target_decision","independent_task","overlap","required_action","decision_basis","production_applied","certification","current_gsc_status","unique_title_now","unique_description_now","official_source_links_now","body_words_now","content_inlinks_now","standalone_usage_gap"
"https://www.biz2lab.com/","/","home","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","PENDING","INDEXED","true","true","0","1117","0","도구 질문 해당 없음"
"https://www.biz2lab.com/health","/health","hub","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","PENDING","INDEXED","true","true","0","1117","0","도구 질문 해당 없음"
"https://www.biz2lab.com/health/acute-myocardial-infarction","/health/acute-myocardial-infarction","disease","INDEX_PRIMARY","INDEX_PRIMARY","심한통증·지속시간을기다리지않는119행동과검사이해","신고망설임비교·관상동맥심정지구분·심전도트로포닌역할표","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","2","365","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/allergic-rhinitis","/health/allergic-rhinitis","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","4","418","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/anxiety-disorder","/health/anxiety-disorder","disease","INDEX_PRIMARY","INDEX_PRIMARY","불안 경험·공황·의료 도움 시점 구분","경험 비교표·네 기록 영역·약 역할과 강요 없는 지원","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","391","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/asthma","/health/asthma","disease","INDEX_PRIMARY","INDEX_PRIMARY","기도 변화와 기존 개인 행동계획을 이해","개념도와 개인 계획의 다섯 확인 질문","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","3","361","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/depression","/health/depression","disease","INDEX_PRIMARY","INDEX_PRIMARY","가족 경청·진료와 지금의 위기 도움 구분","편집 대화표·2주와 점수의 한계·109와119 역할","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","403","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/dyslipidemia","/health/dyslipidemia","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","3","386","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/gastroesophageal-reflux-disease","/health/gastroesophageal-reflux-disease","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","5","439","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/gout","/health/gout","disease","INDEX_PRIMARY","INDEX_PRIMARY","혈액 요산과 관절 진단 및 두 치료 목적 구분","요산검사 개념도와 급성·장기 진료 질문","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","3","383","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/appointment-questions","/health/guides/appointment-questions","support","INDEX_SUPPORT","INDEX_SUPPORT","중요질문우선순위와설명후다음행동확인","검사치료4행질문·이해와실행곤란구분·귀가전후연락빈칸","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","101","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/danger-signals","/health/guides/danger-signals","support","INDEX_SUPPORT","INDEX_SUPPORT","119를먼저부를때와신고하며전할정보","각위험신호행동·119와109구분·사전완성불필요신고정보표","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","119","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/family-medication-support","/health/guides/family-medication-support","support","INDEX_SUPPORT","INDEX_SUPPORT","당사자동의아래복약어려움을전문가에게연결","혼동누락삼킴거부4행표·확인과미확인인계·목록작성과분리","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","2","104","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/measuring-blood-pressure","/health/guides/measuring-blood-pressure","support","INDEX_SUPPORT","INDEX_SUPPORT","가정에서비교가능한조건으로재고진료에전달","준비안정반복시간구분·4부위자세표·두값과조건원본기록","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","2","104","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/medication-list","/health/guides/medication-list","support","INDEX_SUPPORT","INDEX_SUPPORT","현재제품정보와사용법을분리해진료약국에전달","함량사용법5행표·현재과거및지시실제차이·갱신일확인","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","2","82","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/older-parent-health-organizer","/health/guides/older-parent-health-organizer","support","INDEX_SUPPORT","INDEX_SUPPORT","동의한 부모님 건강정보의 요약·원본 위치·확인 날짜 전달","원본 위치4행표·모름과없음·전체 약 목록·날짜 구분","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","UNKNOWN","true","true","2","104","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/reading-health-results","/health/guides/reading-health-results","support","INDEX_SUPPORT","INDEX_SUPPORT","혈액소변검사표의숫자와표시를진료질문으로전환","4행표시질문표·확진과참고범위구분·준비조건과후속연락","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","110","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/symptom-journal","/health/guides/symptom-journal","support","INDEX_SUPPORT","INDEX_SUPPORT","경험관찰원인추정을나누어진료에전달","4칸자체정리예시·두통수면별항목·빈칸최소일수없이전달","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","2","94","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/guides/understanding-hba1c","/health/guides/understanding-hba1c","support","INDEX_SUPPORT","INDEX_SUPPORT","진료·검사·가족 지원의 독립적인 실용 질문","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","2","107","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/hypertension","/health/hypertension","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","5","586","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/irritable-bowel-syndrome","/health/irritable-bowel-syndrome","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","3","379","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/kidney-stones","/health/kidney-stones","disease","INDEX_PRIMARY","INDEX_PRIMARY","소변길 위치·급한 변화·검사 후 배출 확인 구분","요관과 요도 그림·검사 역할표·개별 수분 식사와 네 질문","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","3","384","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/metabolic-dysfunction-associated-steatotic-liver-disease","/health/metabolic-dysfunction-associated-steatotic-liver-disease","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","DISCOVERED_NOT_INDEXED","true","true","3","392","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/migraine","/health/migraine","disease","INDEX_PRIMARY","INDEX_PRIMARY","평소 두통 흐름과 새 위험 변화 구분","필수단계 아닌 경험표와 두통날·실제 약사용일 분리","독립 출처 대조·5폭QA·12개 인증 통과; 임상검수 아님","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","3","377","2","도구 질문 해당 없음"
"https://www.biz2lab.com/health/obesity","/health/obesity","disease","INDEX_PRIMARY","INDEX_PRIMARY","질환별 이해·적절한 도움·진료 준비 또는 이를 찾는 주제 허브","개별 dossier에서 검증","페이지별 순차 개선·출처 대조·12개 인증 기준 QA","INTERNAL_HEURISTIC","NO","SEO_PAGE_CERTIFIED","INDEXED","true","true","3","399","2","도구 질문 해당 없음"
